id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,29,25,2023-12-11,0.24,1,252,1,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,149,3,122,2023-11-18,0.67,10,202,4,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,160,3,127,2023-10-28,0.71,10,86,4,STR-491702
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,,91,28,2023-12-20,0.24,9,14,3,
10813,A Brownstone -close to subway-colleges-Newbury St-,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,86,32,5,2023-11-19,0.08,12,332,1,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,86,32,1,2024-01-05,0.37,12,266,1,
18711,230B1 · The Dorset Redline | 3BR 1BA w/Central Air,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,139,30,52,2023-08-19,0.31,29,181,1,
29765,Moroccan Decor Suite,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,,2,101,2023-09-13,0.60,1,0,1,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,29,98,2023-11-27,0.59,1,265,5,STR-551851
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,,29,137,2023-08-08,0.83,1,14,2,STR-409822
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,110,1,333,2023-11-05,2.02,8,291,1,STR-492781
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,145,2024-02-29,0.90,5,112,3,STR-415714
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Beacon Hill,42.35894,-71.0631,Entire home/apt,100,32,19,2020-09-08,0.15,9,220,0,
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,112,91,48,2022-12-24,0.35,9,175,0,
69369,Entire two-bedroom apartment near Longwood,255183,Michelle,,Roxbury,42.32546,-71.08894,Entire home/apt,100,29,118,2019-11-15,0.75,5,30,0,STR-415714
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,29,71,2023-11-04,0.47,1,205,7,STR-415924
77691,Private room in Victorian house,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,110,1,300,2024-01-12,1.89,8,222,1,STR-492781
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,232,3,270,2024-02-23,1.76,10,92,19,STR-446659
179244,Beautiful room with private bath/#2,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,1,110,2024-01-01,0.72,8,13,1,STR-457920
179245,Private Room & private bath in Townhouse,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,110,1,65,2023-12-29,0.43,8,18,1,Exempt: This listing is a hotel or motel
184893,1 bedroom apt can sleep 4 near historical sites,887148,Dawn,,Charlestown,42.37823,-71.06778,Private room,259,4,0,,,3,78,0,STR-539322
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,,30,58,2024-01-31,0.38,1,27,5,
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,124,3,487,2024-03-16,3.22,2,72,30,STR-409453
205894,Large bedroom in Victorian House/Room D,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,110,1,216,2023-11-22,1.41,8,117,1,STR-457920
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,139,3,291,2024-03-12,1.91,1,263,32,STR-545902
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,195,3,323,2023-10-29,2.13,1,51,28,STR-454055
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,306,2,464,2024-02-18,3.26,1,189,38,STR-411297
297994,Your cozy stay in South Boston,1536237,Albert,,South Boston,42.33583,-71.05271,Entire home/apt,,28,53,2023-11-19,0.36,1,115,19,STR-494323
315982,"Beautiful Townhouse, 2 BR & 2 Bath",119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,283,1,120,2022-10-24,0.82,8,297,0,STR-457920
377474,Cozy Room in Beautiful Victorian House /E,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,50,1,71,2024-02-19,0.50,8,174,35,STR-492781
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,75,5,396,2024-03-18,2.77,1,196,29,STR-459697
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,,91,16,2016-06-26,0.12,1,0,0,
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,,180,8,2013-07-01,0.06,1,0,0,
530983,14P · The Grand View Redline | 5BR 2BA,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,262,30,65,2019-10-29,0.47,29,211,0,
533152,230B4 · The Penthouse w/Central AC | 2BR 1BA w/En-,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,61,30,63,2023-09-19,0.52,29,286,3,
