id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.766414642333984,-105.0020980834961,Entire home/apt,96,30,181,2024-03-02,2.64,2,166,5,2017-BFN-0002177
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.48,1,358,0,
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,62,2,722,2023-12-04,3.95,2,251,40,2021-BFN-0000578
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,64,2,170,2024-03-04,0.92,2,249,3,2021-BFN-0000578
686,Alexandra's Queen Bed Room Long-term Rental Only,990,Alexandra,,North Capitol Hill,39.74695,-104.97838,Private room,40,30,256,2023-12-08,1.35,2,43,1,
1940,Baker Studio: Private-full kitchen-W/D-walkable,2150,Joanne,,Baker,39.72020510811656,-104.99749898910522,Entire home/apt,66,1,165,2024-03-28,1.89,1,226,43,2018-BFN-0002596
21745,Alexandra's King Bed Room Long-term Only,990,Alexandra,,North Capitol Hill,39.7449,-104.97711,Private room,40,30,235,2023-09-21,1.38,2,338,1,
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,94,4,166,2023-12-27,1.01,1,332,24,2020-BFN-0000193
39405,LoHi Secret Garden at Mulberry at Denver Cottages,666,Jennifer & Giovanni,,Highland,39.76605337851223,-105.00307815462764,Entire home/apt,132,2,683,2024-03-27,4.11,2,21,43,2022-BFN-0010458
90307,Comfy Private King on the Main Floor (Park Hill),489506,Doreen,,South Park Hill,39.7495,-104.93362,Private room,90,1,273,2024-03-03,1.83,3,164,13,2023-BFN-0046364
